#separator:comma
#html:false
#deck:Anime & Casual Japanese
#notetype:Basic
#tags column:3
推し,"one's favorite (idol/character)
おし · oshi

このキャラが私の推しだ。
This character is my favorite.",anime
推し活,"activities supporting one's favorite idol/character
おしかつ · oshikatsu

推し活にお金と時間を使っている。
I spend money and time on activities supporting my favorite.",anime
沼にはまる,"to fall deeply into a hobby/fandom
ぬまにはまる · numa ni hamaru

このアニメの沼にはまってしまった。
I've fallen deeply into this anime's fandom.",anime
布教する,"to enthusiastically recommend (a fandom)
ふきょうする · fukyou suru

友人にこの作品を布教した。
I enthusiastically recommended this work to my friend.",anime
聖地巡礼,"pilgrimage to anime/manga real-world locations
せいちじゅんれい · seichi junrei

アニメの聖地巡礼に出かけた。
I went on a pilgrimage to the anime's real-world locations.",anime
原作,"the original work (source material)
げんさく · gensaku

原作の漫画を全巻読んだ。
I read all volumes of the original manga.",anime
アニメ化,"anime adaptation
あにめか · animeka

人気漫画がアニメ化された。
The popular manga was adapted into an anime.",anime
実写化,"live-action adaptation
じっしゃか · jisshaka

漫画の実写化に賛否が分かれた。
Opinions were divided over the live-action adaptation of the manga.",anime
作画,"animation drawing quality
さくが · sakuga

戦闘シーンの作画がすごかった。
The animation drawing in the battle scene was amazing.",anime
声優,"voice actor
せいゆう · seiyuu

好きな声優が出演している作品だ。
It's a work featuring my favorite voice actor.",anime
主題歌,"theme song
しゅだいか · shudaika

アニメの主題歌が話題になった。
The anime's theme song became a hot topic.",anime
エンディング曲,"ending theme song
えんでぃんぐきょく · endingu kyoku

エンディング曲が耳に残る。
The ending theme song stays in my head.",anime
最終回,"final episode
さいしゅうかい · saishuukai

最終回を見て涙が止まらなかった。
I couldn't stop crying watching the final episode.",anime
次回予告,"next episode preview
じかいよこく · jikai yokoku

次回予告に胸が高鳴った。
My heart raced at the next episode preview.",anime
伏線,"foreshadowing
ふくせん · fukusen

伏線が見事に回収された。
The foreshadowing was brilliantly resolved.",anime
伏線回収,"payoff of foreshadowing
ふくせんかいしゅう · fukusen kaishuu

あの伏線回収に鳥肌が立った。
I got goosebumps at that foreshadowing payoff.",anime
神回,"an amazing episode
かみかい · kamikai

今週は神回だった。
This week's episode was amazing.",anime
覇権アニメ,"the most popular anime of the season
はけんあにめ · haken anime

今期の覇権アニメと言われている。
It's said to be this season's most popular anime.",anime
視聴者,"viewer
しちょうしゃ · shichousha

多くの視聴者を魅了した作品だ。
It's a work that captivated many viewers.",anime
考察勢,"fans who analyze/theorize about a story
こうさつぜい · kousatsuzei

考察勢が伏線を分析していた。
The theorizing fans were analyzing the foreshadowing.",anime
二次創作,"fan-made derivative work
にじそうさく · nijisousaku

二次創作のイラストを描いている。
I draw fan-made derivative illustrations.",anime
同人誌,"fan-made comic/magazine
どうじんし · doujinshi

同人誌即売会に参加した。
I participated in a doujinshi sale event.",anime
